ID,age_upon_outcome,breed,color,date_of_birth,coat_pattern,name,outcome_type,sex_upon_outcome,sex
757,3 months,domestic shorthair,black,11/04/2014 00:00,,Austin,Adoption,Neutered Male,Male
758,3 months,domestic shorthair,brown /white,17/10/2013 00:00,tabby,,Transfer,Unknown,Female
759,3 years,domestic shorthair,yellow,21/06/2011 00:00,,,Euthanasia,Unknown,Female
760,2 years,domestic shorthair,orange,17/07/2012 00:00,tabby,,Adoption,Spayed Female,Female
761,1 month,domestic shorthair,white/brown,24/04/2014 00:00,tabby,Emma,Adoption,Intact Female,Female
762,2 years,domestic shorthair,,19/11/2011 00:00,calico,*Callie,Transfer,Spayed Female,Female
763,1 year,domestic shorthair,orange /white,24/02/2013 00:00,tabby,*Eliza,Adoption,Spayed Female,Female
764,2 weeks,domestic shorthair,,02/10/2013 00:00,tortie,,Transfer,Intact Female,Female
765,1 year,domestic shorthair,brown /white,03/01/2013 00:00,tabby,,Transfer,Intact Male,Male
766,2 months,domestic shorthair,orange /white,17/03/2014 00:00,tabby,Orange,Adoption,Neutered Male,Male
767,3 days,domestic shorthair,cream,30/05/2014 00:00,,,Transfer,Unknown,Female
768,2 months,domestic shorthair,orange,14/04/2014 00:00,tabby,*Rooster,Adoption,Neutered Male,Male
769,1 weeks,domestic shorthair,black,18/04/2014 00:00,tabby,,Transfer,Intact Male,Male
770,3 weeks,domestic mediumhair,blue/white,15/08/2014 00:00,,,Transfer,Intact Male,Male
771,3 years,domestic longhair,blue,14/04/2011 00:00,tabby,*Greta,Transfer,Intact Female,Female
772,2 months,domestic shorthair,black/white,06/07/2013 00:00,,*Alex,Adoption,Neutered Male,Male
773,7 years,domestic shorthair,black/white,26/10/2007 00:00,,Peter Cooper,Adoption,Neutered Male,Male
774,2 years,domestic shorthair,blue,10/09/2012 00:00,,,Transfer,Intact Female,Female
775,2 months,domestic shorthair,black/white,07/04/2014 00:00,,Rocky,Adoption,Neutered Male,Male
776,2 years,domestic shorthair,,12/10/2011 00:00,tortie,,Transfer,Intact Female,Female
777,2 years,siamese,lynx,14/12/2011 00:00,point,,Euthanasia,Intact Male,Male
778,11 years,domestic shorthair,black/white,06/10/2003 00:00,,Bibie,Transfer,Neutered Male,Male
779,2 years,domestic shorthair,,16/06/2012 00:00,tortie,,Transfer,Intact Female,Female
780,4 weeks,siamese,flame,24/04/2014 00:00,point,Cotton,Transfer,Intact Male,Male
781,1 year,domestic shorthair,white,28/03/2013 00:00,,,Died,Unknown,Female
782,2 months,domestic shorthair,orange,07/09/2014 00:00,tabby,*Edward,Transfer,Neutered Male,Male
783,4 weeks,domestic longhair/rex,,04/04/2014 00:00,tortie,*Lily,Transfer,Intact Female,Female
784,4 months,domestic longhair,blue,04/10/2013 00:00,,*Marcus,Adoption,Neutered Male,Male
785,3 months,siamese/domestic shorthair,seal,12/05/2014 00:00,point,,Euthanasia,Unknown,Female
786,2 months,domestic shorthair,brown,20/04/2014 00:00,tabby,*Ivy,Adoption,Spayed Female,Female
787,2 years,domestic shorthair,black,10/04/2011 00:00,,Otto,Return to Owner,Neutered Male,Male
788,5 years,domestic shorthair,black,01/09/2009 00:00,,*Maribelle,Adoption,Spayed Female,Female
789,2 months,domestic shorthair,black/white,21/04/2014 00:00,,*Salsa,Adoption,Spayed Female,Female
790,3 weeks,domestic shorthair,brown /white,26/03/2014 00:00,tabby,,Transfer,Intact Male,Male
791,2 months,domestic shorthair,brown,06/04/2014 00:00,tabby,*Belle,Adoption,Spayed Female,Female
792,3 months,siamese,lynx,28/03/2014 00:00,point,,Adoption,Neutered Male,Male
793,2 months,domestic shorthair,brown,25/09/2014 00:00,tabby,*Queso,Adoption,Neutered Male,Male
794,2 months,domestic shorthair,orange,29/07/2014 00:00,tabby,Peppermint,Adoption,Neutered Male,Male
795,3 years,siamese,lilac,23/10/2010 00:00,point,,Transfer,Spayed Female,Female
796,8 years,domestic shorthair,brown /white,17/09/2005 00:00,tabby,Leo,Adoption,Neutered Male,Male
797,3 years,domestic mediumhair,brown /white,09/07/2011 00:00,tabby,,Transfer,Intact Male,Male
798,2 months,domestic shorthair,cream,31/07/2013 00:00,tabby,*Roy,Adoption,Neutered Male,Male
799,2 months,domestic shorthair,orange /white,15/09/2014 00:00,tabby,*Pumpkin,Transfer,Intact Male,Male
800,4 months,domestic shorthair,/white,19/04/2014 00:00,torbie,*Candy,Adoption,Spayed Female,Female
801,2 months,domestic longhair,black/white,13/08/2014 00:00,,*Jenny,Adoption,Spayed Female,Female
802,6 months,domestic mediumhair,silver,11/03/2014 00:00,tabby,,Transfer,Intact Female,Female
803,2 months,domestic shorthair,orange,18/07/2013 00:00,tabby,*Adam,Adoption,Neutered Male,Male
804,3 years,domestic shorthair,blue/white,28/03/2011 00:00,,*Chris,Adoption,Neutered Male,Male
805,2 years,domestic shorthair,brown /white,23/01/2012 00:00,tabby,,Transfer,Intact Female,Female
806,3 years,domestic shorthair,cream,21/12/2010 00:00,tabby,Puma,Return to Owner,Neutered Male,Male
807,2 months,domestic shorthair,cream,16/04/2014 00:00,tabby,*Fraggle,Adoption,Neutered Male,Male
808,3 days,domestic shorthair,black,24/04/2014 00:00,,,Transfer,Unknown,Female
809,2 months,domestic shorthair,cream,09/04/2014 00:00,tabby,Golden Boy,Adoption,Neutered Male,Male
810,2 years,domestic longhair,blue,14/01/2012 00:00,tabby,,Transfer,Intact Male,Male
