ID,age_upon_outcome,breed,color,date_of_birth,coat_pattern,name,outcome_type,sex_upon_outcome,sex
973,1 year,domestic shorthair,black,25/01/2013 00:00,,Silvy,Return to Owner,Spayed Female,Female
974,9 months,domestic shorthair,brown /white,19/09/2013 00:00,tabby,,Transfer,Unknown,Female
975,3 years,domestic shorthair,black/white,25/05/2011 00:00,,,Died,Intact Female,Female
976,1 year,domestic mediumhair,black/white,08/06/2013 00:00,,,Transfer,Spayed Female,Female
977,3 days,domestic shorthair,black,31/03/2014 00:00,tabby,,Transfer,Intact Male,Male
978,2 months,domestic shorthair,brown /white,25/02/2014 00:00,tabby,*Max,Adoption,Neutered Male,Male
979,2 months,domestic shorthair,black/white,23/07/2014 00:00,,Willow,Adoption,Spayed Female,Female
980,3 months,snowshoe,lynx,13/04/2014 00:00,point,,Adoption,Neutered Male,Male
981,3 months,domestic shorthair,black,15/04/2014 00:00,,Pavel,Adoption,Neutered Male,Male
982,13 years,domestic mediumhair,brown /white,17/01/2001 00:00,tabby,Bobo,Died,Neutered Male,Male
983,3 months,domestic shorthair,blue /white,02/05/2014 00:00,tabby,Chester,Adoption,Neutered Male,Male
984,3 weeks,domestic shorthair,black,20/03/2014 00:00,,,Transfer,Intact Female,Female
985,16 years,domestic longhair,black,30/11/1998 00:00,,Cupcake,Adoption,Spayed Female,Female
986,1 year,domestic shorthair,black/white,17/07/2013 00:00,,,Transfer,Neutered Male,Male
987,2 weeks,domestic shorthair,brown,17/04/2014 00:00,tabby,,Transfer,Intact Female,Female
988,1 year,domestic shorthair,,25/05/2013 00:00,calico,,Adoption,Spayed Female,Female
989,2 months,domestic shorthair,white/black,17/03/2014 00:00,,Kia,Adoption,Spayed Female,Female
990,3 years,domestic shorthair,orange,08/09/2011 00:00,tabby,Prince,Adoption,Neutered Male,Male
991,5 years,domestic longhair,/white,09/03/2009 00:00,torbie,Tiger,Adoption,Spayed Female,Female
992,3 years,domestic shorthair,brown /white,06/08/2011 00:00,tabby,*Babs,Transfer,Intact Female,Female
993,1 month,domestic shorthair,black/white,15/05/2014 00:00,,*Nelda,Adoption,Spayed Female,Female
994,3 months,siamese,lilac,23/05/2014 00:00,point,,Transfer,Intact Female,Female
995,3 weeks,domestic shorthair,cream /white,04/08/2014 00:00,tabby,,Transfer,Intact Male,Male
996,1 year,domestic shorthair,/orange,17/03/2013 00:00,tortie,*Dahlia,Transfer,Spayed Female,Female
997,1 year,domestic shorthair,black/white,21/01/2013 00:00,,,Transfer,Intact Male,Male
998,1 year,domestic shorthair,orange,27/02/2013 00:00,tabby,,Transfer,Unknown,Female
999,1 year,domestic shorthair,black /white,30/05/2013 00:00,smoke,*Tootsie,Adoption,Spayed Female,Female
1000,2 months,domestic shorthair,black/white,23/04/2014 00:00,,*Susie,Adoption,Spayed Female,Female
